date,season1_03,season1_05,season1_07,season1_10,season1_12,season2_03,season2_05,season2_07,season2_10,season2_12,report_year,report_week,report_week_total_calls,sin_report_week,cos_report_week,calls_month_1_away,calls_month_2_away,calls_month_3_away,calls_month_4_away,calls_month_5_away,calls_month_6_away,calls_month_7_away,calls_month_8_away,season1_03_divergence,season1_05_divergence,season1_07_divergence,season1_10_divergence,season1_12_divergence,season2_03_divergence,season2_05_divergence,season2_07_divergence,season2_10_divergence,season2_12_divergence,price,value_delta_mean_30_forward,value_delta_max_30_forward,pct_delta_mean_30_forward,pct_delta_max_30_forward,mean_rise_30_forward,max_rise_30_forward,value_delta_mean_15_forward,value_delta_max_15_forward,pct_delta_mean_15_forward,pct_delta_max_15_forward,mean_rise_15_forward,max_rise_15_forward,value_delta_mean_7_forward,value_delta_max_7_forward,pct_delta_mean_7_forward,pct_delta_max_7_forward,mean_rise_7_forward,max_rise_7_forward,report_month
2001-02-02,2108.0,6764.0,16222.0,1518.0,3684.0,9226.0,3322.0,5062.0,,,2001,5,47906,0.4647231720437685,0.8854560256532099,2108.0,6764.0,16222.0,1518.0,3684.0,9226.0,3322.0,5062.0,-11030.125,-8900.958333333334,-5977.0,331.20833333333326,-6728.791666666666,5611.041666666666,1823.4583333333333,2779.9166666666665,,,62.0,-3.086666666666666,0.0,-0.04978494623655916,0.0,0.0,0.0,-1.2533333333333303,0.0,-0.020215053763440793,0.0,0.0,0.0,-0.44285714285714306,0.0,-0.0071428571428571175,0.0,0.0,0.0,2
2001-02-09,1616.0,5927.0,15570.0,1525.0,3809.0,9778.0,3397.0,5488.0,,,2001,6,47110,0.5680647467311558,0.8229838658936564,1616.0,5927.0,15570.0,1525.0,3809.0,9778.0,3397.0,5488.0,-8126.083333333334,-10755.041666666668,-7098.083333333332,339.33333333333326,-7233.916666666666,5844.208333333334,1788.625,3038.5416666666665,,,61.35,-3.8316666666666706,0.0,-0.06245585438739476,0.0,0.0,0.0,-1.7800000000000011,0.0,-0.02901385493072539,0.0,0.0,0.0,-0.9714285714285751,0.0,-0.01583420654325307,0.0,0.0,0.0,2
2001-02-16,943.0,5252.0,15150.0,1538.0,4451.0,10614.0,3777.0,6339.0,,,2001,7,48064,0.6631226582407952,0.7485107481711011,943.0,5252.0,15150.0,1538.0,4451.0,10614.0,3777.0,6339.0,-3803.708333333333,-12197.166666666668,-7661.875,315.16666666666674,-7288.458333333334,6210.083333333333,1917.2083333333333,3512.0416666666665,,,60.15,-4.04666666666666,0.05000000000000426,-0.06727625380991953,0.0008312551953451042,0.0,1.0,-1.6299999999999955,0.05000000000000426,-0.027098919368245933,0.0008312551953451042,0.0,1.0,-0.4571428571428555,0.05000000000000426,-0.007600047500296858,0.0008312551953451042,0.0,1.0,2
2001-02-23,57.0,3967.0,13853.0,1377.0,4924.0,11198.0,4092.0,6779.0,,,2001,8,46247,0.7485107481711011,0.6631226582407953,57.0,3967.0,13853.0,1377.0,4924.0,11198.0,4092.0,6779.0,-1181.5,-14237.708333333332,-9252.708333333332,96.41666666666674,-7526.541666666666,6501.958333333333,2074.75,3783.9166666666665,,,59.15,-4.534999999999997,0.0,-0.076669484361792,0.0,0.0,0.0,-2.069999999999993,0.0,-0.03499577345731175,0.0,0.0,0.0,-1.085714285714289,0.0,-0.018355271102523885,0.0,0.0,0.0,2
2001-03-02,6.0,3113.0,12639.0,1253.0,4934.0,12014.0,4504.0,7528.0,,,2001,9,45991,0.8229838658936564,0.5680647467311558,6.0,3113.0,12639.0,1253.0,4934.0,12014.0,4504.0,7528.0,-96.83333333333333,-14291.375,-10582.291666666668,-90.79166666666674,-8242.0,6964.291666666667,2315.4166666666665,4269.166666666666,,,57.4,-3.9566666666666563,0.0,-0.06893147502903585,0.0,0.0,0.0,-1.93333333333333,0.0,-0.03368176538908241,0.0,0.0,0.0,-0.34285714285714164,0.0,-0.005973120955699351,0.0,0.0,0.0,3
2001-03-09,0.0,3095.0,11990.0,1259.0,5204.0,12310.0,4608.0,7677.0,,,2001,10,46143,0.8854560256532098,0.4647231720437686,0.0,3095.0,11990.0,1259.0,5204.0,12310.0,4608.0,7677.0,-39.125,-13261.25,-11320.75,-91.45833333333326,-8788.5,6761.041666666667,2157.0416666666665,4138.666666666666,,,56.9,-4.458333333333329,0.0,-0.07835383714118327,0.0,0.0,0.0,-3.2133333333333383,0.0,-0.056473345049795065,0.0,0.0,0.0,-1.7428571428571402,0.0,-0.03063017825759473,0.0,0.0,0.0,3
2001-03-16,0.0,2470.0,9857.0,1132.0,5195.0,12510.0,4990.0,8008.0,,,2001,11,44162,0.9350162426854148,0.35460488704253557,0.0,2470.0,9857.0,1132.0,5195.0,12510.0,4990.0,8008.0,-14.904761904761905,-12337.708333333334,-13562.75,-235.04166666666674,-9633.083333333334,6423.375,2332.5833333333335,4141.416666666666,,,54.25,-2.56666666666667,0.0,-0.047311827956989294,0.0,0.0,0.0,-2.1000000000000014,0.0,-0.03870967741935483,0.0,0.0,0.0,-1.2714285714285651,0.0,-0.02343647136273852,0.0,0.0,0.0,3
2001-03-23,,,,,,13006.0,5166.0,8305.0,969.0,547.0,2001,12,27993,0.970941817426052,0.23931566428755804,13006.0,5166.0,8305.0,969.0,547.0,,,,,,,,,6461.125,2300.4166666666665,4126.125,737.25,-1654.4444444444443,51.65,-0.37333333333332774,0.5,-0.007228138109067306,0.00968054211035807,0.0,1.0,-0.22999999999999687,0.5,-0.004453049370764739,0.00968054211035807,0.0,1.0,0.028571428571432023,0.5,0.0005531738348776294,0.00968054211035807,1.0,1.0,3
2001-03-30,,,,,,12843.0,5337.0,8747.0,969.0,580.0,2001,13,28476,0.992708874098054,0.120536680255323,12843.0,5337.0,8747.0,969.0,580.0,,,,,,,,,5864.791666666667,2223.7916666666665,4237.166666666667,737.5,-1959.6363636363635,51.2,-0.14333333333333798,0.25,-0.002799479166666785,0.0048828125,0.0,1.0,-0.0033333333333303017,0.25,-6.510416666660745e-05,0.0048828125,0.0,1.0,-0.1071428571428541,0.14999999999999858,-0.002092633928571397,0.0029296875,0.0,1.0,3
2001-04-06,,,,,,14303.0,6447.0,10294.0,1196.0,697.0,2001,14,32937,1.0,-1.6081226496766366e-16,14303.0,6447.0,10294.0,1196.0,697.0,,,,,,,,,6899.541666666667,3054.875,5453.0,939.4285714285714,-1948.818181818182,51.35,-0.4716666666666711,0.10000000000000142,-0.009185329438494039,0.0019474196689386325,0.0,1.0,-0.13333333333333286,0.10000000000000142,-0.0025965595585848433,0.0019474196689386325,0.0,1.0,-0.05714285714285694,0.10000000000000142,-0.0011128112393935519,0.0019474196689386325,0.0,1.0,4
2001-04-13,,,,,,15240.0,7057.0,11588.0,1196.0,699.0,2001,15,35780,0.992708874098054,-0.12053668025532288,15240.0,7057.0,11588.0,1196.0,699.0,,,,,,,,,7221.458333333333,3305.5,6366.875,911.3571428571429,-2185.3636363636365,,,,,,,,,,,,,,,,,,,,4
2001-04-20,,,,,,15530.0,7414.0,12003.0,1256.0,699.0,2001,16,36902,0.9709418174260521,-0.2393156642875575,15530.0,7414.0,12003.0,1256.0,699.0,,,,,,,,,7257.625,3511.0833333333335,6443.458333333333,944.2666666666667,-2384.5,51.45,-1.3416666666666757,0.0,-0.02607709750566911,0.0,0.0,0.0,-0.44666666666667254,0.0,-0.008681567865241435,0.0,0.0,0.0,-0.34285714285715585,0.0,-0.006663890045814469,0.0,0.0,0.0,4
2001-04-27,,,,,,16083.0,7705.0,12221.0,1296.0,699.0,2001,17,38004,0.9350162426854148,-0.35460488704253545,16083.0,7705.0,12221.0,1296.0,699.0,,,,,,,,,7471.333333333334,3657.3333333333335,6360.083333333333,966.0666666666666,-2421.6,51.05,-1.481666666666662,0.0,-0.029023832843617314,0.0,0.0,0.0,-0.3299999999999983,0.0,-0.006464250734573906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
