open_time,close_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,price,ticker
1712736000000,1712736899999,69336.27,69336.28,68800.0,69030.03,618.36076,42677278.40368790,46573,69336.27,BTCUSDT
1712736900000,1712737799999,69030.04,69243.99,68900.91,69063.98,335.55248,23167452.04855020,19984,69030.04,BTCUSDT
1712737800000,1712738699999,69063.99,69106.0,68867.0,68962.99,451.62826,31132082.80260470,16232,69063.99,BTCUSDT
1712738700000,1712739599999,68962.98,69019.0,68887.74,69011.92,244.91626,16890602.76845570,11944,68962.98,BTCUSDT
1712739600000,1712740499999,69011.92,69077.17,68917.69,69054.19,146.67281,10116698.10790500,9223,69011.92,BTCUSDT
1712740500000,1712741399999,69054.19,69171.75,69028.79,69100.61,155.92624,10775096.22131570,8228,69054.19,BTCUSDT
1712741400000,1712742299999,69100.61,69100.62,68902.43,69044.57,157.7723,10887195.27846690,9889,69100.61,BTCUSDT
1712742300000,1712743199999,69044.56,69139.2,68929.95,69139.2,182.01331,12561174.51983680,11547,69044.56,BTCUSDT
1712743200000,1712744099999,69139.19,69180.0,68916.0,68936.17,243.66727,16827309.88506760,14664,69139.19,BTCUSDT
1712744100000,1712744999999,68936.18,68942.74,68629.99,68848.0,674.95058,46392909.57373750,28643,68936.18,BTCUSDT
1712745000000,1712745899999,68848.0,68858.02,68650.44,68806.76,249.058,17124336.89436760,12728,68848.0,BTCUSDT
1712745900000,1712746799999,68806.76,68991.09,68671.62,68932.01,442.14822,30441266.00264580,18200,68806.76,BTCUSDT
1712746800000,1712747699999,68932.01,69047.58,68853.83,69026.63,143.21724,9873338.88610100,11868,68932.01,BTCUSDT
1712747700000,1712748599999,69026.63,69078.25,68952.0,69070.2,194.69737,13440790.48217820,9173,69026.63,BTCUSDT
1712748600000,1712749499999,69070.19,69132.61,68956.62,69045.86,317.10589,21894202.80652710,14208,69070.19,BTCUSDT
1712749500000,1712750399999,69045.86,69075.99,68949.71,69043.0,251.71299,17368048.47545880,9645,69045.86,BTCUSDT
1712750400000,1712751299999,69043.0,69204.28,68880.0,69019.13,353.15772,24389269.24145310,21818,69043.0,BTCUSDT
1712751300000,1712752199999,69019.13,69077.03,68723.35,68972.28,494.9984,34095734.58111570,23137,69019.13,BTCUSDT
1712752200000,1712753099999,68972.28,68972.28,67559.99,67959.99,3681.40012,250584505.82254440,118852,68972.28,BTCUSDT
1712753100000,1712753999999,67959.99,68155.43,67808.09,67976.0,987.04547,67074501.85915100,40644,67959.99,BTCUSDT
1712754000000,1712754899999,67975.99,67976.0,67592.95,67616.02,908.78762,61568672.69926450,33608,67975.99,BTCUSDT
1712754900000,1712755799999,67616.01,67878.07,67600.41,67698.96,582.2617,39410919.98868010,24222,67616.01,BTCUSDT
1712755800000,1712756699999,67698.97,67890.81,67590.0,67886.01,577.60405,39110159.80532020,25962,67698.97,BTCUSDT
1712756700000,1712757599999,67886.02,68313.1,67518.0,68259.77,1003.40274,68166504.45786740,47892,67886.02,BTCUSDT
1712757600000,1712758499999,68259.77,68339.8,68009.94,68235.13,507.49478,34593266.46098190,20847,68259.77,BTCUSDT
1712758500000,1712759399999,68235.12,68814.76,68144.36,68588.24,1141.67954,78320153.39322590,38501,68235.12,BTCUSDT
1712759400000,1712760299999,68588.25,68974.58,68398.06,68829.5,1247.39953,85669002.07878020,42232,68588.25,BTCUSDT
1712760300000,1712761199999,68829.5,68955.0,68633.33,68703.05,581.45691,39993927.30716010,22795,68829.5,BTCUSDT
1712761200000,1712762099999,68703.04,68752.05,68264.0,68370.0,639.74892,43798103.11759090,27906,68703.04,BTCUSDT
1712762100000,1712762999999,68370.01,68634.33,68340.0,68632.25,433.51672,29679196.59861780,19551,68370.01,BTCUSDT
1712763000000,1712763899999,68632.25,68760.71,68479.38,68500.0,336.81589,23107261.61919640,17082,68632.25,BTCUSDT
1712763900000,1712764799999,68499.99,68706.78,68492.21,68657.32,272.23768,18680113.65502210,13699,68499.99,BTCUSDT
1712764800000,1712765699999,68657.31,68873.45,68607.47,68732.01,556.02137,38235497.97265670,23617,68657.31,BTCUSDT
1712765700000,1712766599999,68732.0,68960.01,68556.0,68917.63,507.60061,34886667.97779510,34102,68732.0,BTCUSDT
1712766600000,1712767499999,68917.63,69262.68,68852.58,69076.73,834.85504,57693819.69279630,36685,68917.63,BTCUSDT
1712767500000,1712768399999,69076.74,69536.0,69076.73,69500.0,1289.11168,89457861.32563950,36584,69076.74,BTCUSDT
1712768400000,1712769299999,69499.99,69536.0,69184.73,69261.24,593.76835,41175804.70625660,25542,69499.99,BTCUSDT
1712769300000,1712770199999,69261.23,69910.96,69195.85,69594.8,855.25132,59586562.18561040,39060,69261.23,BTCUSDT
1712770200000,1712771099999,69594.8,69649.99,69240.0,69302.64,494.28953,34313015.14508000,28687,69594.8,BTCUSDT
1712771100000,1712771999999,69302.64,69448.02,69142.81,69350.11,369.31355,25601250.12299950,21756,69302.64,BTCUSDT
1712772000000,1712772899999,69350.1,69388.12,69172.04,69375.99,333.29696,23086640.49503490,19852,69350.1,BTCUSDT
1712772900000,1712773799999,69376.0,69411.34,69100.24,69239.35,456.91407,31641141.41684730,18558,69376.0,BTCUSDT
1712773800000,1712774699999,69239.36,69392.06,69071.0,69376.43,418.06724,28931512.63222690,16376,69239.36,BTCUSDT
1712774700000,1712775599999,69376.43,69407.99,69238.73,69314.33,204.62825,14186011.00189940,10675,69376.43,BTCUSDT
1712775600000,1712776499999,69314.33,69365.2,69219.14,69365.19,256.64894,17782767.91821520,12376,69314.33,BTCUSDT
1712776500000,1712777399999,69365.19,69597.09,69343.06,69519.85,344.18757,23907849.55827300,15704,69365.19,BTCUSDT
1712777400000,1712778299999,69519.85,69752.16,69421.97,69732.31,582.87338,40572392.29689340,20051,69519.85,BTCUSDT
1712778300000,1712779199999,69732.32,70098.89,69699.99,70083.99,1201.80586,84020323.14532200,35717,69732.32,BTCUSDT
1712779200000,1712780099999,70084.0,70088.0,69740.0,69876.51,427.80334,29907329.67252230,18960,70084.0,BTCUSDT
1712780100000,1712780999999,69876.52,70136.0,69827.55,69843.9,405.8805,28415322.48531610,14877,69876.52,BTCUSDT
1712781000000,1712781899999,69843.89,69925.13,69800.97,69897.02,225.23214,15735249.95869400,9290,69843.89,BTCUSDT
1712781900000,1712782799999,69897.02,69897.02,69772.77,69812.01,158.20165,11044989.28444250,8238,69897.02,BTCUSDT
1712782800000,1712783699999,69812.01,69970.88,69733.33,69852.27,272.53519,19033062.33908400,11807,69812.01,BTCUSDT
1712783700000,1712784599999,69852.28,69860.01,69581.03,69623.99,221.63697,15453683.93325010,9541,69852.28,BTCUSDT
1712784600000,1712785499999,69624.0,69750.0,69593.88,69593.88,177.0284,12335204.54951860,8015,69624.0,BTCUSDT
1712785500000,1712786399999,69593.88,70036.81,69593.88,70017.0,430.2707,30079785.27162830,13286,69593.88,BTCUSDT
1712786400000,1712787299999,70017.01,70579.79,70017.0,70494.41,1226.69845,86267115.26965840,44316,70017.01,BTCUSDT
1712787300000,1712788199999,70494.4,71172.08,70428.02,70917.31,1498.69347,106185293.11235540,45535,70494.4,BTCUSDT
1712788200000,1712789099999,70917.3,71100.0,70702.62,70775.76,725.4563,51435350.38526800,25133,70917.3,BTCUSDT
1712789100000,1712789999999,70775.75,70799.09,70500.0,70528.0,377.28408,26648695.68631760,16267,70775.75,BTCUSDT
1712790000000,1712790899999,70528.0,70799.99,70528.0,70655.37,257.55426,18199006.68184300,11853,70528.0,BTCUSDT
1712790900000,1712791799999,70655.37,70693.9,70537.03,70587.17,232.98031,16448819.37997140,9447,70655.37,BTCUSDT
1712791800000,1712792699999,70587.18,70664.86,70537.03,70537.04,173.26643,12233108.69503300,7592,70587.18,BTCUSDT
1712792700000,1712793599999,70537.03,70664.46,70488.38,70631.08,154.37153,10892007.87026440,8386,70537.03,BTCUSDT
1712793600000,1712794499999,70631.08,70663.21,70335.0,70462.17,372.47056,26246010.09599820,17735,70631.08,BTCUSDT
1712794500000,1712795399999,70462.17,70480.59,70340.0,70364.03,211.75258,14907631.04047460,9724,70462.17,BTCUSDT
1712795400000,1712796299999,70364.03,70495.95,70285.13,70362.81,229.11904,16122385.22259650,11589,70364.03,BTCUSDT
1712796300000,1712797199999,70362.8,70574.09,70347.99,70520.01,192.02221,13525169.77841660,10022,70362.8,BTCUSDT
1712797200000,1712798099999,70520.0,70684.0,70484.0,70633.67,307.56777,21711199.32173260,12217,70520.0,BTCUSDT
1712798100000,1712798999999,70633.67,70760.0,70514.57,70514.58,238.32965,16837766.54988910,10871,70633.67,BTCUSDT
1712799000000,1712799899999,70514.58,70747.38,70469.12,70549.83,224.36876,15844309.36436450,11867,70514.58,BTCUSDT
1712799900000,1712800799999,70549.84,70668.0,70530.0,70553.28,262.57318,18534448.54068610,14648,70549.84,BTCUSDT
1712800800000,1712801699999,70553.28,70900.0,70500.0,70760.02,293.52213,20756207.24304620,15251,70553.28,BTCUSDT
1712801700000,1712802599999,70760.01,70930.0,70709.55,70808.71,240.96549,17064741.43927310,18590,70760.01,BTCUSDT
1712802600000,1712803499999,70808.72,70932.36,70737.66,70904.29,245.93284,17425555.68333340,15514,70808.72,BTCUSDT
1712803500000,1712804399999,70904.28,71062.0,70756.0,70995.66,509.31906,36133856.97612950,21315,70904.28,BTCUSDT
